trial,model,property,category,within_similarity,outside_similarity,overlap_within,overlap_similar,overlap_random,stopping_epoch,logprob_within,logprob_similar,logprob_random
82,axxl-property,can dax,mammal.n.01,0.27599775791168213,0.27073732018470764,0.46156200766563416,0.2922006845474243,0.2974884510040283,1,-0.20972926914691925,-0.5344400405883789,-0.49860551953315735
83,axxl-property,can dax,mammal.n.01,0.31541693210601807,0.29493919014930725,0.464729368686676,0.2854999303817749,0.3060629367828369,1,-0.19004125893115997,-0.5370010733604431,-0.5535974502563477
84,axxl-property,can dax,mammal.n.01,0.368177205324173,0.34234416484832764,0.4653007686138153,0.2864375114440918,0.28811725974082947,1,-0.18160876631736755,-0.3870801627635956,-0.5915607810020447
85,axxl-property,can dax,mammal.n.01,0.3856450021266937,0.3464626371860504,0.45221638679504395,0.2760096490383148,0.25904256105422974,1,-0.19102689623832703,-0.39540332555770874,-0.5073045492172241
86,axxl-property,can dax,mammal.n.01,0.11708338558673859,0.21440809965133667,0.48153313994407654,0.2722271978855133,0.2668296694755554,2,-0.09409260004758835,-0.2730688750743866,-0.3567531704902649
87,axxl-property,can dax,mammal.n.01,0.23531894385814667,0.26847198605537415,0.46721458435058594,0.2728627622127533,0.27401313185691833,2,-0.07094716280698776,-0.20119912922382355,-0.27851349115371704
88,axxl-property,can dax,mammal.n.01,0.33771511912345886,0.31832262873649597,0.460736483335495,0.28645002841949463,0.26881855726242065,2,-0.05882596969604492,-0.09126314520835876,-0.21320267021656036
89,axxl-property,can dax,mammal.n.01,0.37557661533355713,0.3476496636867523,0.4669514000415802,0.29637596011161804,0.2763665020465851,2,-0.055681463330984116,-0.07531534135341644,-0.18967489898204803
90,axxl-property,can dax,mammal.n.01,0.38216260075569153,0.3693527579307556,0.4630608558654785,0.2955389618873596,0.26760363578796387,2,-0.05638592317700386,-0.06344324350357056,-0.16241933405399323
91,axxl-property,can dax,mammal.n.01,0.11453451961278915,0.18050870299339294,0.4541548490524292,0.27694374322891235,0.29404985904693604,2,-0.08522918075323105,-0.2701072692871094,-0.19496139883995056
92,axxl-property,can dax,mammal.n.01,0.28856396675109863,0.26665863394737244,0.4541622996330261,0.28304436802864075,0.2675939202308655,2,-0.06511817872524261,-0.15431396663188934,-0.21569010615348816
93,axxl-property,can dax,mammal.n.01,0.3335385024547577,0.2835194766521454,0.43142518401145935,0.2832103967666626,0.27475640177726746,2,-0.06246085837483406,-0.1527814269065857,-0.1379873901605606
94,axxl-property,can dax,mammal.n.01,0.38968151807785034,0.34292834997177124,0.44673895835876465,0.28183239698410034,0.2705423831939697,2,-0.06501366198062897,-0.14562442898750305,-0.18665149807929993
95,axxl-property,can dax,mammal.n.01,0.4015495479106903,0.35369130969047546,0.45202428102493286,0.2955014705657959,0.29357588291168213,2,-0.07547155767679214,-0.15300282835960388,-0.2568534314632416
96,axxl-property,can dax,mammal.n.01,0.20287294685840607,0.18736599385738373,0.4812409281730652,0.31280413269996643,0.28468313813209534,2,-0.08930835872888565,-0.23378033936023712,-0.28670671582221985
97,axxl-property,can dax,mammal.n.01,0.3281004726886749,0.28631526231765747,0.4658220112323761,0.3076097369194031,0.28294122219085693,2,-0.0753222405910492,-0.1273919939994812,-0.1740429550409317
98,axxl-property,can dax,mammal.n.01,0.36882078647613525,0.35605040192604065,0.4734097719192505,0.3110058605670929,0.28526169061660767,2,-0.06843966245651245,-0.11444420367479324,-0.22478698194026947
99,axxl-property,can dax,mammal.n.01,0.39514124393463135,0.38768428564071655,0.4613683223724365,0.30245256423950195,0.2744450569152832,2,-0.058824244886636734,-0.10584680736064911,-0.2822245955467224
100,axxl-property,can dax,mammal.n.01,0.4002280831336975,0.3918735682964325,0.4658048152923584,0.3078972399234772,0.2905465364456177,2,-0.0552382692694664,-0.09438707679510117,-0.10703879594802856
101,axxl-property,can dax,reptile.n.01,0.4189489781856537,0.4732809364795685,0.43944084644317627,0.35157182812690735,0.3303981423377991,2,-0.13856546580791473,-0.19323039054870605,-0.20407502353191376
102,axxl-property,can dax,reptile.n.01,0.4794382154941559,0.5082178711891174,0.45152920484542847,0.2977222502231598,0.28129518032073975,2,-0.08564038574695587,-0.10112853348255157,-0.19930331408977509
103,axxl-property,can dax,reptile.n.01,0.5285419821739197,0.4939216077327728,0.4213229715824127,0.34565186500549316,0.21273691952228546,2,-0.07389399409294128,-0.06224319338798523,-0.7826336622238159
